UNOM	Адрес	Центроид (lon,lat)
6666114	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 19/1	[37.458291625, 55.672787916]
6667031	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 10/1	[37.466689706, 55.672681403]
6667392	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 5	[37.465690671, 55.675575983]
6667735	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 13	[37.461830562, 55.6740135]
6667733	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 10	[37.46558899, 55.673917584]
6667747	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 20	[37.4617431, 55.671151304]
6667743	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 18	[37.461918374, 55.6718775]
6667730	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 7	[37.464398629, 55.675453904]
6667745	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 19	[37.459215533, 55.672552504]
6667741	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 17	[37.460509349, 55.672684384]
6667739	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 15	[37.461613793, 55.673272626]
6667728	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 6	[37.467091743, 55.67478103]
6667737	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 14	[37.464325154, 55.672617536]
6667732	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 8	[37.466868775, 55.674042657]
6667749	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 21	[37.458980435, 55.671846762]
6667751	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 22	[37.460403865, 55.671043178]
6669697	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 4/1	[37.47011814, 55.676366766]
6671649	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 23/2	[37.458696932, 55.670710952]
6033329	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 16/1	[37.463950936, 55.671333239]
6629738	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 9	[37.46418372, 55.674718314]
